embedding_id,Tipo,Talla,Color,Temporada,Genero,Estilo,Pais,Marca,Modelo,Ruta_Imagen
0,Vestido,2 | L,Amarillo,Primavera,Mujer,Disfraces | Cospla,,Hikvison,,Amairany Bernal Hernández\Imagen 01\Imagen 01.webp
1,Falda,12,Negro,Otoño,Mujer,,USA,Anna Sui,825K10,Amairany Bernal Hernández\Imagen 02\Imagen 02.webp
2,Pantalon,30,Rosa,Primavera,Mujer,,USA,Anna Sui,624T40,Amairany Bernal Hernández\Imagen 03\Imagen 03.webp
3,Vestido,12,Gris,,Mujer,,USA,Anna Sui,1124K72,Amairany Bernal Hernández\Imagen 04\Imagen 04.webp
4,Falda,M,Cream,Otoño,Mujer,,USA,Anna Sui,725N10,Amairany Bernal Hernández\Imagen 05\Imagen 05.webp
5,Cardigan,L,Navy,,Mujer,,USA,Anna Sui,AR07,Amairany Bernal Hernández\Imagen 06\Imagen 06.webp
6,Gorro,,Verde,Invierno,Unisex,,China,Anna Sui,725Q90,Amairany Bernal Hernández\Imagen 07\Imagen 07.webp
7,Polo,L,Negro,,Hombre,,,Lanvin,,Amairany Bernal Hernández\Imagen 08\Imagen 08.webp
8,Sweater,L,Blanco,,Mujer,,,Sonia Rykiel,,Amairany Bernal Hernández\Imagen 09\Imagen 09.webp
9,Vestido,S,Verde,Primavera,Mujer,,Italia,Blumarine,,Amairany Bernal Hernández\Imagen 10\Imagen 10.webp
10,Abrigo,42,Negro,Invierno,Mujer,Oversize,Francia,Isabel Marant,,Amairany Bernal Hernández\Imagen 11\Imagen 11.webp
11,Pantalon,38,Azul,,Mujer,,Francia,Isabel Marant,,Amairany Bernal Hernández\Imagen 12\Imagen 12.webp
12,Falda,36,Black-red,,Mujer,,Francia,Isabel Marant,,Amairany Bernal Hernández\Imagen 13\Imagen 13.webp
13,Vestido,14,Plum,,Mujer,,,Vivienne Westwood,11010379-W00NU--PLUM,Amairany Bernal Hernández\Imagen 14\Imagen 14.webp
14,Corset,44,Rosa,,Mujer,,Italia,Vivienne Westwood,18030063-Y003F--PETUNIA-PINK,Amairany Bernal Hernández\Imagen 15\Imagen 15.webp
15,Chaqueta,M | L,Marrón,Otoño | Invierno,Unisex,Casual | Urbano,España,Bershka,No especificado en la etiqueta visible,Antonio Brayan Peña Bernabe\Prenda 1.webp
16,pantalón,M | L,azul oscuro,Primavera | Verano | Otoño | Invierno,Mujer,Casual | Streetwear | Urbano,Bangladesh,Bershka,,Antonio Brayan Peña Bernabe\Prenda 10.webp
17,Jean de pierna ancha con acabado desgastado,M | L,Azul claro,Primavera | Verano | Otoño,Mujer,Casual | Streetwear | Urbano | 2k,Bangladesh,Bershka,Wide leg o bagg,Antonio Brayan Peña Bernabe\Prenda 11.webp
18,Pantalón tipo jeans recto,M | L,Base beige con estampado en negro o gris oscuro,Primavera | Verano | Otoño,Unisex,Streetwear | Artístico | Moderno | Experimental,Turquia,Bershka,painted denim o art print jeans,Antonio Brayan Peña Bernabe\Prenda 12.webp
19,Pantalón,M | L,Gris lavado,Primavera | Otoño,Unisex,Streetwear | Urbano | Casual con estética “distressed | Desgastado”,Camboya,Bershka,,Antonio Brayan Peña Bernabe\Prenda 13.webp
20,Sudadera con capucha,S | M | L,Tono crema claro,Otoño | Invierno ligero,Unisex,Urbano | Streetwear casual | Con branding grande,Turquia,“Out of core”,“Out of core print hoodie”,Antonio Brayan Peña Bernabe\Prenda 14.webp
21,Sudadera con capucha,S | M | L,Gris oscuro lavado,Otoño | Invierno ligero | Otoño | Invierno urbano,Unisex,Streetwear | Urbano | “grunge” leve con efecto lavado | Tipografía gráfica,Pakistan,“Futura Designer,“Futura Designer Hoodie”,Antonio Brayan Peña Bernabe\Prenda 15.webp
22,Chaqueta acolchada,M | L,Negro,Otoño | Invierno,Unisex,Casual | Urbano | Streetwear,España,Bershka,No especificado en la etiqueta visible,Antonio Brayan Peña Bernabe\Prenda 2.webp
23,Sudadera con capucha,M | L,Negro,Otoño | Invierno,Unisex,Casual | Urbano | Streetwear,España,Bershka,No especificado en la etiqueta visible,Antonio Brayan Peña Bernabe\Prenda 3.webp
24,Pantalón cargo,M | L,Negro desgastado,Versátil | Aunque más común en otoño | Invierno por el grosor | Estilo,Unisex,Urbano | Streetwear | Utilit,Bangladesh,Bershka,,Antonio Brayan Peña Bernabe\Prenda 4.webp
