Tipo,Talla,Color,Temporada,Genero,Estilo,Pais,Marca,Modelo,Ruta_Imagen
Vestido,2 | L,Amarillo,Primavera,Mujer,Disfraces | Cospla,,Hikvison,,Amairany Bernal Hernández\Imagen 01\Imagen 01.webp
Falda,12,Negro,Otoño,Mujer,,USA,Anna Sui,825K10,Amairany Bernal Hernández\Imagen 02\Imagen 02.webp
Pantalon,30,Rosa,Primavera,Mujer,,USA,Anna Sui,624T40,Amairany Bernal Hernández\Imagen 03\Imagen 03.webp
Vestido,12,Gris,,Mujer,,USA,Anna Sui,1124K72,Amairany Bernal Hernández\Imagen 04\Imagen 04.webp
Falda,M,Cream,Otoño,Mujer,,USA,Anna Sui,725N10,Amairany Bernal Hernández\Imagen 05\Imagen 05.webp
Cardigan,L,Navy,,Mujer,,USA,Anna Sui,AR07,Amairany Bernal Hernández\Imagen 06\Imagen 06.webp
Gorro,,Verde,Invierno,Unisex,,China,Anna Sui,725Q90,Amairany Bernal Hernández\Imagen 07\Imagen 07.webp
Polo,L,Negro,,Hombre,,,Lanvin,,Amairany Bernal Hernández\Imagen 08\Imagen 08.webp
Sweater,L,Blanco,,Mujer,,,Sonia Rykiel,,Amairany Bernal Hernández\Imagen 09\Imagen 09.webp
Vestido,S,Verde,Primavera,Mujer,,Italia,Blumarine,,Amairany Bernal Hernández\Imagen 10\Imagen 10.webp
Abrigo,42,Negro,Invierno,Mujer,Oversize,Francia,Isabel Marant,,Amairany Bernal Hernández\Imagen 11\Imagen 11.webp
Pantalon,38,Azul,,Mujer,,Francia,Isabel Marant,,Amairany Bernal Hernández\Imagen 12\Imagen 12.webp
Falda,36,Black-red,,Mujer,,Francia,Isabel Marant,,Amairany Bernal Hernández\Imagen 13\Imagen 13.webp
Vestido,14,Plum,,Mujer,,,Vivienne Westwood,11010379-W00NU--PLUM,Amairany Bernal Hernández\Imagen 14\Imagen 14.webp
Corset,44,Rosa,,Mujer,,Italia,Vivienne Westwood,18030063-Y003F--PETUNIA-PINK,Amairany Bernal Hernández\Imagen 15\Imagen 15.webp
Chaqueta,M | L,Marrón,Otoño | Invierno,Unisex,Casual | Urbano,España,Bershka,No especificado en la etiqueta visible,Antonio Brayan Peña Bernabe\Prenda 1.webp
pantalón,M | L,azul oscuro,Primavera | Verano | Otoño | Invierno,Mujer,Casual | Streetwear | Urbano,Bangladesh,Bershka,,Antonio Brayan Peña Bernabe\Prenda 10.webp
Jean de pierna ancha con acabado desgastado,M | L,Azul claro,Primavera | Verano | Otoño,Mujer,Casual | Streetwear | Urbano | 2k,Bangladesh,Bershka,Wide leg o bagg,Antonio Brayan Peña Bernabe\Prenda 11.webp
Pantalón tipo jeans recto,M | L,Base beige con estampado en negro o gris oscuro,Primavera | Verano | Otoño,Unisex,Streetwear | Artístico | Moderno | Experimental,Turquia,Bershka,painted denim o art print jeans,Antonio Brayan Peña Bernabe\Prenda 12.webp
